batch_start,batch_close,candidate_id,ivrs,introductions,first_round_interviews,final_offers,hired,,,,,,,Predicted,Actual,Variance
1/13/16,2/8/16,600269,1,0,0,0,FALSE,,,,,,867065,FALSE,FALSE,TRUE
1/13/16,2/8/16,607300,0,0,0,0,FALSE,,,,,,39494,FALSE,FALSE,TRUE
1/13/16,2/8/16,609270,5,5,5,0,FALSE,,,,,,908215,FALSE,FALSE,TRUE
1/13/16,2/8/16,160313,13,10,5,0,FALSE,,,,,,1047972,TRUE,TRUE,TRUE
1/13/16,2/8/16,610822,2,2,0,0,FALSE,,,,,,839621,FALSE,FALSE,TRUE
1/13/16,2/8/16,425411,22,9,5,1,FALSE,,,,,,815768,FALSE,FALSE,TRUE
1/13/16,2/8/16,357348,9,0,0,0,FALSE,,,,,,600986,FALSE,FALSE,TRUE
1/13/16,2/8/16,21844,0,0,0,0,FALSE,,,,,,1130600,FALSE,FALSE,TRUE
1/13/16,2/8/16,616282,11,5,2,0,FALSE,,,,,,1034032,FALSE,FALSE,TRUE
1/13/16,2/8/16,613450,4,2,2,0,FALSE,,,,,,1348549,FALSE,FALSE,TRUE
1/13/16,2/8/16,504777,2,1,0,0,FALSE,,,,,,438079,FALSE,FALSE,TRUE
1/13/16,2/8/16,532987,0,0,0,0,FALSE,,,,,,538386,FALSE,FALSE,TRUE
1/13/16,2/8/16,608653,13,2,1,1,TRUE,,,,,,701485,FALSE,FALSE,TRUE
1/13/16,2/8/16,612046,0,0,0,0,FALSE,,,,,,889140,FALSE,FALSE,TRUE
1/13/16,2/8/16,205683,5,2,2,0,FALSE,,,,,,791567,FALSE,FALSE,TRUE
1/13/16,2/8/16,117006,4,2,0,0,FALSE,,,,,,360958,FALSE,FALSE,TRUE
1/13/16,2/8/16,582825,4,3,1,0,FALSE,,,,,,267137,FALSE,FALSE,TRUE
1/13/16,2/8/16,606630,12,10,3,0,FALSE,,,,,,746671,FALSE,FALSE,TRUE
